0,428,139,700
1,265,-364,700
2,-245,756,245
3,-245,-756,245
4,644,467,-245
5,-796,0,-245
6,644,-467,-245
7,-265,-364,-700
8,0,451,700
9,796,0,245
10,-644,467,245
11,245,-756,245
12,245,756,-245
13,-644,-467,-245
14,428,139,-700
15,265,-364,-700
16,-428,139,700
17,644,467,245
18,-796,0,245
19,644,-467,245
20,-245,756,-245
21,-245,-756,-245
22,0,451,-700
23,-428,139,-700
24,-265,-364,700
25,245,756,245
26,-644,-467,245
27,796,0,-245
28,-644,467,-245
29,245,-756,-245
,,,
,,,
,,,
,,,
^(\d+)\s+(-?\d+)\s+(-?\d+)\s+(-?\d+)$,,,
"\1, \2, \3, \4",,,
